幕起:	贾扛帐篷上。画外音:一声哨音“嘟……”“车皮还没调整到位，休息一会。”
贾:	（把帐篷包往地上一放）还紧急发出呢，车皮都不能一次调整到位。（边擦汗边向观众说）我啊，是保管队的保管员，叫贾兵。嗨！你听我这姓和名！我名叫贾兵，（做伸胳膊、腿状）大伙看我这身板……绝对是一个真正的兵。
甄:	（上台，往帐篷包上一趴）哎呀，哎呀，车皮啊，千万要晚来一会。累死我了！
贾:	（边跑跳，边做运动状）累？！待会再扛上八十包！
甄:	不累？！过来背我跑两圈，累不趴下你。
贾:	哎哟，甄队长，就您这身板，我背着你，绕着赤道跑一圈，那还不是猪八戒背媳妇，轻松加愉快！
甄:	你少贫嘴，好好休息吧。
贾:	（围着甄绕圈）嘿嘿，甄队，我啊，跟您贫嘴的日子可不长了。还真想找个机会跟你好好聊聊。（拿来三角木刚坐下，画外音“贾兵，拿两个把钉过来”）嘿，成心捣乱嘛。哎，来了。
甄:	（向观众）这小子啊，工作是肯吃苦，很能干，就是嘴上缺个把门的，什么话都敢说。前天跟他们班长说，“班长，再有三个月我就要退伍了，到现在连个党票还混到手，你得给弄个啊”。你听听，还“党票”、“混”、“弄”，我估计今天他肯定又要说这个。不行，今天我得躲着这小子点，省得给自己找麻烦……（往台下走）
贾:	（上台）甄队，别走啊……我找您汇报一下思想。
甄:	（为难状）啊……改天再说。
贾:	（去拉队长的手，往台中扯，变口气）队长，你看这不是您的作风嘛，您可是咱仓库的优秀基层干部啊，怎么能这么对待部下呢？
甄:	累的够戗，休息。
贾:	我的好队长，就聊几句，几句。
甄:	好、好、好，去，你坐那儿，我跟你聊！（贾做规规矩矩状，甄向观众自言自语）完了，今天算是让这小子给粘上了，得小心应付。（转口气）听说你对象要和你分手？
贾:	都说甄队上知天文地理，下知鸡毛蒜皮，还真是个全球通。这点小事你也知道？
甄:	咱们队里才几个人？一个感冒全队都跟着咳嗽，谁不知道谁啊。
贾:	队长，今天我不想说个人隐私问题。
甄:	不行！你这个人问题也是你的思想情况啊。难道你谈对象对你工作生活一点影响也没有吗？
贾:	这不是问题。
甄:	不是问题才怪。
贾:	这真不是问题，我想说的是……
甄:	你想说的是别干涉你的私生活。
贾:	哎。（急转）也不是这个……
甄:	你想说什么我知道。你对象抛弃你完全是一个错误的决定嘛！大伙看看咱们小贾同志，还是很不错的嘛，长得高高大大……
贾:	那得感谢爹妈……
甄:	帅气潇洒……
贾:	也就赛过刘德华……
甄:	英俊儒雅……
甄:	耶……说你胖你还喘得没完了？
贾:	那是那是……啊……我其实想说……
甄:	你别说，你对象离开你分明是她自己的损失嘛。
贾:	哎哟，队长同志，我不想说她了，我想说我……
甄:	是的，你肯定也是有问题的。
贾:	啊？我又怎么了？
甄:	你没问题，她怎么会闹着跟你分手呢？
贾:	嗨！又绕回来了。我想要说的问题是……咦……我想说什么来着？
甄:	你看，连自己的问题都搞不清楚了。
贾:	我都让您给绕糊涂了……
甄:	贾兵同志！要向党组织如实汇报思想……
贾:	对！对！对！我就是想说……入党的问题！
甄:	入党？
贾:	哎！你看我……
甄:	哎哟……我肚子疼。你等会儿，我上个厕所……（下台）
贾:	哎……队长……嗨！（向观众）我们这个甄队长啊，几次想找他汇报一下思想情况，可他老躲着我。其实我也知道，基层干部也不容易，权力不大，事情不少，对我们这些战士的要求，是既想承诺，又不敢打保票，怕挫伤我们的积极性，这些我们都理解。说实话，入党指标少，我本没抱多大希望。不过今天我就提入党问题逗逗他。这不，刚才我还没说入党的事，他就把我绕得晕头转向，等我刚入正题，他跑了。（向台下）上个厕所这么久，成心想躲我。队长……队长……看我把他引出来。（装领导口气）小甄在哪啊？这紧急发出，队长跑哪去了？（转换口气）队长……主任找你！
甄:	到！（跑步上台）
贾:	（向观众）看，一听领导找，跑得比兔子都快。
甄:	（跑步上台）主任在哪呢？
贾:	主任在这呢！
甄:	你小子学会蒙我了？胆子越来越大了！
贾:	队长，这不刚才我的话还没说完呢。
甄:	哦，刚才，你说你这个对象啊，不要也罢。她……
贾:	行了，您就别绕了。我就是想问问您啊，我这入党申请已经交了一年多了……
甄:	哎哟……我肚子……（捂头，慌改捂肚子）
贾:	（快接）您肚子就别疼了……看您装都装不像。肚子疼……队长，其实我今天就是想知道，我贾兵在您心里到底怎么样？凭什么好事一到我这就转弯走了。
甄:	得得得，今天啊，我算栽你这了，你尽管说……
贾:	去年学车为什么不让我去？
甄:	去年三月你刚通过一级保管员考试，是新兵中唯一过关的，能让你改行学车去吗？
贾:	那今年你为什么不让我去学修理？
甄:	今年大量新装备入库了，片区又赶上要组织岗位练兵比武，你是仓库参加比武的业务骨干，能让你去学修理吗？
贾:	那我今年入党怎么办？
甄:	入党？好办。
贾:	怎么办？
甄:	我给你拍根黄瓜。
贾:	啊？
甄:	你再剥几瓣蒜。
贾:	啊？
甄:	咱们凉拌！
贾:	嗨，等于没说。
甄:	小贾同志。这入党啊，得讲究程序和原则。那是成熟一个才发展一个……关键是你现在还没有成熟嘛。
贾:	还不成熟？老兵，我都老了。
甄:	老什么老？那么多比你老的兵还没入党呢。只要你好学上进，踏实肯干，成熟了入党不会有问题嘛！
贾:	行！队长，有你这些话，我知足了！您放心，不管年底我是走是留，也不管能不能入党，我一定会一如既往地干好每一件工作，保证思想不出毛病！
甄:	真的？
贾:	真的！
甄:	真是这样想？
贾:	您就放心吧，我的好队长。
甄:	走！干活去！
贾:	好嘞！
